Gene,Mean_Normalized_Counts,condition-cKOvsaFL.log2FC,condition-cKOvsaFL.FC,condition-cKOvsaFL.RawP,condition-cKOvsaFL.FDR,cKO_A2.stabilized,cKO_E1.stabilized,cKO_F1.stabilized,cKO_G1.stabilized,cKO_H1.stabilized,FL_A1.stabilized,FL_B1.stabilized,FL_C1.stabilized,FL_D1.stabilized,miR-15/16 seed-match location,AHC reads
Vsig10,64.85404904,-0.01344544,0.990723624,0.934686231,0.975147461,7.125150237,7.117946684,7.13287128,7.26848848,6.987030803,6.847638723,7.200468789,7.211901834,7.248248771,NA,NA
Vsig10l,39.12648142,0.22001387,1.164744784,0.206589556,0.471808222,6.887720288,6.772912657,6.843898413,6.736003471,6.974904198,6.817087323,6.817618838,6.597001032,6.626324946,Not_3UTR,0
Vsir,3514.697081,0.31858973,1.247110871,1.03869e-4,0.004082731,11.91013522,11.88754111,11.86263231,11.93979358,12.13818106,11.56525016,11.72371892,11.654712,11.55184039,3UTR,14
Vstm5,8.491131464,0.339320962,1.265160977,0.07776387,0.28856443,6.202286357,6.322764394,6.098825601,6.100332427,6.171718376,5.923646332,5.962922352,6.064264584,6.069543045,NA,NA
Vta1,1738.725466,-0.16688724,0.890762519,0.049610569,0.229851625,10.67800466,10.79369757,10.79026783,10.71299968,10.81490721,10.92933462,10.81983091,10.82375319,11.11216381,NA,NA
Vti1a,947.1733369,-0.137851838,0.908871451,0.384453284,0.65210335,10.12564924,10.20749074,10.12808347,9.60632761,9.4964439,10.21487513,10.27041728,9.628350904,10.20499583,TS,1
Vti1b,2639.249552,-0.08890657,0.940235091,0.49844591,0.736788035,11.30717016,11.31568779,11.33790685,11.21869977,11.63048171,11.4241969,11.2956669,11.19609617,11.86217338,3UTR,54
Vwa1,5.751935063,0.13556086,1.09851979,0.46053427,0.710025966,6.108525823,6.102301173,6.060086965,5.9234539,5.952244695,5.974264508,5.857199134,6.02223266,5.980885137,3UTR,0
Vwa3b,24.70839811,-0.232044062,0.851427704,0.233350219,0.503101296,6.141388017,6.555427406,6.098825601,6.531550318,6.744833021,6.346923553,6.708684261,6.689961133,6.73564008,NA,NA
Vwa5a,1417.829363,0.097393743,1.06983903,0.490302841,0.731795285,10.45327274,10.58998794,10.39361059,10.92432464,10.59886561,10.23333243,10.78688584,10.6801152,10.18434139,Not_3UTR,0
Vwa7,9.57537034,0.214973869,1.160682891,0.252769501,0.525395875,6.403316082,6.138788247,6.262349823,6.019666398,6.140576422,6.061752769,5.79026811,6.174293099,6.180550254,3UTR,0
Vwa8,1425.26251,-0.090065866,0.939479856,0.384096507,0.651944676,10.5953992,10.46263378,10.50750107,10.60297742,10.43637075,10.57845572,10.74665728,10.76527887,10.32423791,3UTR,2
Vwa9,1617.085326,0.065146092,1.046190875,0.44326365,0.697164987,10.77616391,10.75228267,10.79849974,10.78388652,10.7117309,10.87242583,10.62676035,10.74553603,10.53153931,NA,NA
Vwf,5.149835323,-0.085203846,0.942651334,0.606176924,0.804335692,5.849337781,5.975619219,6.16934025,5.797363301,5.848885414,6.171315241,5.79026811,6.103279532,5.871189572,Not_3UTR,0
Wac,2848.502004,0.060189167,1.042602458,0.581141769,0.790280083,11.55689258,11.50154949,11.63989042,11.62850276,11.40284057,11.53237624,11.62380898,11.60129477,11.12778147,3UTR,16
Wapl,5640.216626,0.132608589,1.096274123,0.22105005,0.487588362,12.73098662,12.41764579,12.62496076,12.49815631,12.43223322,12.48077968,12.53036433,12.47582163,12.0840475,NA,NA
